"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Afghanistan","Total renewable","Electricity Installed Capacity (MW)","All","2021",418.49
"Afghanistan","Total renewable","Electricity Installed Capacity (MW)","All","2022",522.79
"Afghanistan","Total renewable","Electricity Installed Capacity (MW)","All","2023",522.79
"Afghanistan","Total renewable","Electricity Installed Capacity (MW)","All","2024",522.79
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2021",52.19
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2022",53.96
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2023",53.96
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2024",53.96
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","All","2021",0.40
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","All","2022",0.40
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","All","2023",0.40
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","All","2024",0.40
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","All","2021",365.91
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","All","2022",468.44
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","All","2023",468.44
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","All","2024",468.44
"Afghanistan","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Marine energy","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Marine energy","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Marine energy","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Marine energy","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Solid biofuels","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Solid biofuels","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Solid biofuels","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Solid biofuels","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Liquid biofuels","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Liquid biofuels","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Liquid biofuels","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Liquid biofuels","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Biogas","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Biogas","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Biogas","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Biogas","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Total non-renewable","Electricity Installed Capacity (MW)","All","2021",276.66
"Afghanistan","Total non-renewable","Electricity Installed Capacity (MW)","All","2022",276.66
"Afghanistan","Total non-renewable","Electricity Installed Capacity (MW)","All","2023",276.66
"Afghanistan","Total non-renewable","Electricity Installed Capacity (MW)","All","2024",276.66
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Oil","Electricity Installed Capacity (MW)","All","2021",139.18
"Afghanistan","Oil","Electricity Installed Capacity (MW)","All","2022",139.18
"Afghanistan","Oil","Electricity Installed Capacity (MW)","All","2023",236.66
"Afghanistan","Oil","Electricity Installed Capacity (MW)","All","2024",236.66
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","All","2021",40.00
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","All","2022",40.00
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","All","2023",40.00
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","All","2024",40.00
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2021",97.48
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2022",97.48
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","All","2024",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2021",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2022",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2023",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Total renewable","Electricity Installed Capacity (MW)","All","2021",2531.43
"Albania","Total renewable","Electricity Installed Capacity (MW)","All","2022",2594.57
"Albania","Total renewable","Electricity Installed Capacity (MW)","All","2023",2727.02
"Albania","Total renewable","Electricity Installed Capacity (MW)","All","2024",2827.02
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2021",23.00
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2022",100.14
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2023",206.73
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2024",306.73
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","All","2021",2507.00
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","All","2022",2493.00
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","All","2023",2518.86
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","All","2024",2518.86
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","All","2021",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","All","2022",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","All","2023",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","All","2024",-
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2021",1.43
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2022",1.43
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2023",1.43
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2024",1.43
